,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
22,Les Terrasses, 2021,39.55,4.4,Vino tinto,Priorat,14.5,Cariñena,,93.0,93.0
23,Ultreia Godello, 2021,15.5,4.3,Vino blanco,Bierzo,13.5,Godello,,93.0,
24,Victorino, 2020,43.5,4.7,Vino tinto,Toro,14.5,Tinta de Toro,94.0,96.0,93.0
25,Almirez, 2020,21.5,4.3,Vino tinto,Toro,14.5,Tinta de Toro,93.0,94.0,91.0
26,Gramona Imperial, 2018,23.2,4.7,Cava,Corpinnat,12.0,Xarel·lo,,,
27,Juan Gil Etiqueta Plata, 2021,12.25,4.4,Vino tinto,Jumilla,15.0,Monastrell,93.0,93.0,90.0
28,Lindes de Remelluri Viñedos de Labastida, 2020,17.7,4.4,Vino tinto,Rioja,13.5,Tempranillo,94.0,93.0,93.0
29,O Luar Do Sil, 2022,12.8,4.3,Vino blanco,Valdeorras,13.0,Godello,,,
30,Marqués de Murrieta, 2019,26.5,4.5,Vino tinto,Rioja,14.0,Tempranillo,94.0,93.0,96.0
31,Els Pics, 2020,17.4,4.4,Vino tinto,Priorat,15.0,Garnacha,91.0,91.0,
32,Cutio Garnacha, 2020,8.95,3.8,Vino tinto,Cariñena,14.5,Garnacha,,,92.0
33,Carmelo Rodero Crianza, 2021,24.9,4.5,Vino tinto,Ribera del Duero,14.5,Tempranillo,91.0,91.0,
34,Muga Reserva Selección Especial, 2019,31.9,4.7,Vino tinto,Rioja,14.0,Tempranillo,95.0,94.0,94.0
35,Rigol Brut Nature,,4.5,4.5,Cava,DO Cava,11.5,Parellada,,,
36,Pruno, 2021,12.5,4.2,Vino tinto,Ribera del Duero,14.0,Tempranillo,91.0,90.0,90.0
37,Raventós i Blanc de Nit, 2021,19.15,4.5,Cava,Conca del Riu Anoia,12.0,Macabeo,,90.0,
38,Valldolina Reserva Brut Nature,,9.95,4.3,Cava,DO Cava,11.5,Macabeo,,,
39,Mauro, 2021,35.5,4.6,Vino tinto,Castilla y León,14.5,Tempranillo,94.0,92.0,
40,Emilio Moro Finca Resalso, 2022,9.6,4.3,Vino tinto,Ribera del Duero,14.0,Tempranillo,,90.0,92.0
41,Camins del Priorat, 2022,25.45,4.5,Vino tinto,Priorat,14.5,Garnacha,91.0,92.0,92.0
42,Dominio del Águila Reserva, 2019,67.8,4.9,Vino tinto,Ribera del Duero,14.0,Tempranillo,96.0,96.0,
43,Tomás Postigo 3er Año, 2021,34.65,4.4,Vino tinto,Ribera del Duero,15.0,Tempranillo,,93.0,
44,Matarromera Crianza, 2019,23.8,4.5,Vino tinto,Ribera del Duero,14.5,Tempranillo,90.0,91.0,
45,Juvé & Camps Reserva de la Familia, 2018,18.95,4.7,Cava,DO Cava,12.0,Macabeo,,92.0,91.0
46,Honoro Vera Garnacha, 2022,6.45,4.6,Vino tinto,Calatayud,14.5,Garnacha,,,
47,K-Naia, 2022,7.2,4.4,Vino blanco,Rueda,13.5,Verdejo,,90.0,
48,Llopart Reserva Brut Nature, 2019,14.75,4.2,Cava,Corpinnat,11.5,Macabeo,91.0,90.0,
49,La Nieta, 2021,120.0,4.6,Vino tinto,Rioja,14.5,Tempranillo,97.0,95.0,
50,La Celestina, 2019,12.9,4.3,Vino tinto,Ribera del Duero,14.5,Tempranillo,91.0,91.0,
51,Alaya Tierra, 2021,25.95,4.9,Vino tinto,Almansa,16.0,Garnacha tintorera,,92.0,91.0
52,Gessamí, 2023,12.95,4.6,Vino blanco,Penedès,11.0,Moscatel de grano menudo,,90.0,
53,Tragolargo, 2022,7.7,3.9,Vino tinto,Alicante,12.5,Monastrell,91.0,,
